cn_name,en_name,stype,genbank,desc,envir,liter,discuss,sample,other
鳞甲衣,"Parmeliella incisa Müll. Arg., G. bot. ital., n.s. 24: 194, 1958.Type:",无信息,无信息,地衣体：叶状至鳞片状，疏松附着于基物，直径1～3 cm；裂片：窄于1 mm，有时似鳞片状，轻微分叉，边缘上翘；上表面：棕红色至棕色，具小裂片；下表面：黑色至棕色，具不明显的假根；髓层：薄，白色；子囊盘：常见，网衣型，直径0.7～2 mm；盘面凹陷，棕色至红棕色；孢子椭圆形，19～26 × 7～12 μm。地衣特征化合物:不含地衣特征化合物。,生于树皮、岩石和土壤表面；海拔？？。,福建、湖北、新疆（魏江春 1991），亚洲（Park 1990）。,P. subincisa与本种相似，但区别在于前者地衣体平坦，不或轻微上翘，孢子较小（Park 1990）。,无信息,无信息
栎黄髓梅,"Parmelina quercina (Willd.) Hale, Phytologia 28: 483, 1974.≡Lichen quercina Willd., Fl. berol. prodr.: 353, 1787.","GERMANY, Baden, Südlicher Schwarzwald, Fahrstrasse zwischen dem Jugendheim, c. 1050 m, 14 July 1926, J. Hillmann (B 60 0033509, neotype)",无信息,"地衣体：叶状，紧贴基物, 玫瑰形延伸，直径2～6(～10) cm；裂片：2～4 mm宽，常二叉分支，边缘具缘毛，顶端圆形；缘毛：黑色，长0.08～0.2 mm，有时非常稀疏；上表面：矿物灰至蓝灰色，具光泽或暗，光滑，中央裂片常皱褶，无白斑，靠近裂片边缘处具粉霜；下表面：黑色，边缘棕色，具密集假根；假根：单一，黑色，长0.5～1 mm；子囊盘：常见，直径2～4(～6) mm，盘面红棕色，盘缘常具假根；孢子：椭圆形，无色单胞，8～11 × 5～6.5 μm；分生孢子器：常见，密集，具黑色孔口，分生孢子柱状，直，5～7 × 1 μm。地衣特征化合物: 含atranorin, lecanoric 和 gyrophoric acids。",树干及岩石表面；海拔？？？。,"安徽、广西、广州、河北、黑龙江、湖北、湖南、吉林、江西、辽宁、内蒙古、陕西、四川、西藏、新疆、云南、浙江（Wei 1991），欧洲、北美、亚洲（Brodo, Sharnoff & Sharnoff 2001; Clerc & Truong 2008）。",本种的主要分类特征为地衣体灰色，紧贴基物，上表面无白斑，裂片边缘具稀疏缘毛；Parmelina carporrhizans与本种相似，但区别在于前者地衣体疏松附着于基物，裂片更狭长，上表面具白斑（Clerc & Truong 2008）。,无信息,无信息
雅鲁髓梅,"Parmelina yalungana (Zahlbr.) P.R. Nelson & Kepler, The Bryologist, 115(4):557-56, 2012.≡Parmelia yalungana Zahlbr., Hedwigia 74: 206 (1934)","CHINA: Sichuan province, Mountains between Litang and Yalung rivers, between Muli Gomba and Baurong and Wa-Erh-Dje, on Picea, alt. 4250 m., Jul., 1928, J.F. Rock 16720 (W).",无信息,"地衣体：叶状，中央紧贴基物，边缘裂片疏松附着；裂片：1～4 mm宽，边缘具黑色缘毛；上表面：平坦至轻微凸起，白色至灰色，无白斑，无或具轻微光泽，光滑，老裂片上偶具裂纹及皱褶；下表面：黑色，具密集假根；假根：单一，0.5～1.5 mm长；子囊盘：常见，茶渍型，直径1.5～3.5 mm；盘面棕色，平坦至轻微凹陷，盘缘光滑至轻微缺刻；子实层：25～62 μm；孢子宽椭圆形至亚球形，透明单胞，(6.3～) ～7.8～(～10) × (3.8～) ～5.3～(～6.5) μm；分生孢子器：小，埋生，孔口黑色；分生孢子杆状，直或轻微弯曲，6～9 × 1 μm。地衣特征化合物: atranorin, lecanoric, stictic acids。",树干或灌木丛树枝；海拔？？？。,"四川、西藏、云南，北美、亚洲（Nelson et al., 2012）。",本种区别于相似物种的主要特征为：地衣体上表面无白斑，基物树皮，孢子短小，(6.3～) ～7.8～(～10) × (3.8～) ～5.3～(～6.5) μm (Nelson et al. 2012)。,无信息,无信息
美髯毛小孢发,"Bryoria barbata Li S. Wang & D. Liu, Phytotaxa 297(1): 34, 2017Type: CHINA. Yunnan, Lijiang Co., L. S. Wang & M. M. Liang 11-32052, 2011 (KUN-L, holotype!).","CHINA. Yunnan, Lijiang Co., L. S. Wang & M. M. Liang 11-32052, 2011 (KUN-L, holotype!).","KU895847, KU895848","地衣体：枝状，斜展至半下垂，长5 ～ 10（～15）cm，主枝直径0.3 ～ 0.6 mm；分枝：不规则二叉式分枝，侧生小刺状分枝稀疏；表面：栗褐色至黄棕褐色，侧生小刺稀见或缺如；粉芽及裂芽：无；假杯点：椭圆形至梭形，灰白色，淡棕色或暗棕色，明显突出；子囊盘：侧生无柄，幼时盘面凹陷，成熟后平坦至突出，直径0.2 ～ 2 mm；囊盘被：灰白色，无缘毛；子囊及子囊孢子：子囊棒状，内含8个孢子；孢子卵圆形至亚球形，无色单胞，直径4 × 5 μm；分生孢子器：未见；地衣特征化合物：髓层: P+ 桔红色, K–, C–, KC–, CK–，含 fumarprotocetraric acid。",常见于冷杉(Abies)、云杉(Picea)和杜鹃(Rhododendron)树干，偶见岩石表面藓层生；海拔2400 ～ 4300 m。,"吉林，内蒙古，陕西，四川，西藏，云南（Wang L. et al., 2017）；仅知中国有分布。",本种的分类特征在于地衣体斜展或半下垂，不规则二叉分枝，呈栗棕色，具假杯点并含富马原岛衣酸；与毛状小孢发（B. trichodes）都有假杯点和相同的地衣特征化合物，但后者地衣体下垂，呈深棕色至暗褐色。,四川（Sichuan） 道孚县，王立松 07–28336；乡城县，王立松 02–21402；西藏（Xizang） 察隅县，苏京军 4876–b；加玉县，臧穆 67-e；云南（Yunnan） 香格里拉，王立松 02–21778。,无信息
小孢宽叶衣,"Parmelinella simplicior (Hale) Elix & Hale, Mycotaxon 29: 242, 1987.≡Parmelia simplicior Hale, Bryologist 75(1): 99, 1972.","INDIA, Western Ghats, Panchgani, leg. D.D. Awasthi 4056, 15-VI-1959 (US, isotype Awasthi herbarium n.v.)",无信息,地衣体：叶状，革质，贴生于树皮表面，大至11.5 cm；裂片：不规则分叉，1.2～4.3(～5.4)mm宽，重叠至拥挤排列；边缘锯齿状，顶端圆形，平坦至轻微内卷；裂腋卵圆形至不规则；小裂片：常出现在裂片边缘，0.3～1.2 × 0.2～0.6 mm，边缘无缘毛；缘毛：无或稀疏，常出现于裂腋处，黑色，顶端单一至不规则分叉，0.05～0.35(～0.5) × ca. 0.05 mm；上表面：暗灰色，皱褶，具横向裂纹；下表面：棕色至黑色，颜色分布不均匀，有光泽，光滑至轻微皱褶，具稀疏至适量假根；假根：黑色，单一，偶不规则分叉，0.2～0.8 × 0.03～0.05(～0.1) mm；子囊盘：常见，盘面凹陷，浅棕色至深棕色；孢子：椭圆形，(10～)12～17.5 × 7.5～10 μm；分生孢子器：常见，埋生，孔口黑色，分生孢子杆状至亚梭形，(4～)5～6.5 × 0.5 μm。地衣特征化合物: 含atranorin 和 salazinic acid。,树皮生；海拔？？？。,无信息,印度宽叶衣P. chozoubae与本种相似，但区别在于前者裂片更窄，0.7～2.5 mm，假根分叉，下表面为均匀的黑色（Benatti 2014）。,无信息,无信息
小裂芽宽叶衣,"Parmelinella wallichiana (Taylor) Elix & Hale, Mycotaxon 29: 242, 1987.≡Parmelia wallichiana Taylor, London J. Bot. 6: 176, 1847.","NEPAL, leg. Wallich s.n. (FH-Taylor).",无信息,地衣体：叶状，亚革质，贴生于树皮表面，大至18.8 cm；裂片：不规则至亚二叉分枝，(3～)5～10(～16) mm宽，连续至重叠生长，边缘平坦至内卷，具黑色增厚的边缘线；顶端圆形，平坦，裂腋卵圆形至不规则；小裂片：稀疏，裂片边缘生，0.5～3 × 0.3～1 mm，无缘毛；裂芽：地衣体中央生，密集或稀疏，颗粒状至分叉的柱状，顶端颜色较深，0.05～0.5 × 0.05～0.15 mm；缘毛：裂腋处常见，黑色，顶端单一，着生于裂片边缘黑色增厚的边缘线上，0.1～0.5 × 0.03～0.05 mm；上表面：暗灰色，平坦，光滑，老裂片不规则龟裂；下表面：不均匀的棕色至黑色，有光泽，光滑至轻微皱褶，具稀疏至适量假根；边缘浅棕色，无假根，约2 mm宽；假根：棕色，单一；子囊盘：直径1～7 mm，盘面凹陷，棕色；孢子：15～20 × (8～)10～12.5 μm。地衣特征化合物: 含atranorin 和 salazinic acid。,树皮表面；海拔？？？。,安徽、福建、海南、广东、广西、广州、湖北、湖南、吉林、江西、辽宁、内蒙古、台湾、西藏、香港、云南、浙江（魏江春 1991），澳洲、非洲、南美洲、亚洲（Benatti 2014）。,P. cinerascens与本种相似，但区别在于前者裂片更窄，孢子较小8～10 × 4～5 μm，和黑色的下表面（Benatti 2014）。,无信息,无信息
华南大叶梅,"Parmotrema austrosinense (Zahlbr.) Hale, Phytologia 28: 335, 1974.≡Parmelia austrosinensis Zahlbr. in Handel-Mazzetti, Symb. Sin. 3:192, 1930.","CHINA. Guizhou, Handel-Mazzetti no.10580 & Yunnan, Handel-Mazzetti no.8209 (W-syntypes).",无信息,"地衣体：大型叶状，疏松附着基物，直径6～10 cm；裂片：浅裂，边缘上翘并强烈波状起伏，宽5～15 mm，顶端圆形，全缘，无缘毛；粉芽：边缘至亚边缘生，唇形，粉末状至颗粒状；上表面：暗灰色至灰绿色，具光泽，光滑，具轻微白斑，老裂片具网状裂纹；下表面：网状皱褶，具稀疏假根，黑色，边缘具4～6 mm宽的黄棕色裸露带；假根：单一，不均匀分布，长1 mm；子囊盘：未见；地衣特征化合物：皮层K+黄色，髓层K-，C+红色，P-，含 atranorin, chloroatranorin 和 lecanoric acid。",松（Pinus）、栎（Quercus）树干，海拔1500～2900 m。,福建、广西、贵州、江苏、湖南、山东、四川、台湾、西藏、云南、浙江（Wei 1991），北美、中美、亚洲（Jayalal et al. 2013）。,本种的主要分类特征为地衣体软，裂片边缘无缘毛，具唇形粉芽堆，髓层C+红色；隐斑大叶梅P. hababianum与本种相似，但区别在于前者地衣体边缘具缘毛，髓层C-。,云南（Yunnan），南涧县，王立松等12-34253；景东县，王立松等12-34591；丽江县，王立松等 09-30039， 禄丰县，王立松07-28787。,无信息
东方大叶梅,"Parmotrema grayanum (Hue) Hale, Phytologia 28: 336, 1974.≡Parmelia grayana Hue, Nouv. Arch. Mus. Hist. Nat., Paris, 4 sér. 1: 184, 1899.",无信息,无信息,地衣体：叶状，疏松附着基物，直径3～6 cm；裂片：3～6 mm宽，拥挤排列，顶端圆形，边缘上翘，具缺刻，具缘毛；缘毛：黑色，单一至分叉，长0.5～2 mm；上表面：灰色，光滑，近边缘处具粉芽；粉芽：线形至亚球形，颗粒状，通常具灰棕色调；下表面：轻微皱褶，具稀疏假根，黑色，具宽的棕色裸露边缘；假根：黑色，单一，长1～2 mm；子囊盘：未见；分生孢子器：埋生，孔口黑色，分生孢子杆状，长6～8 μm。地衣特征化合物: 含atranorin 和 chloroatranorin。,生于岩石表面；海拔？？。,安徽、吉林、江西、山东、西藏、云南（魏江春 1991），中美洲、非洲、亚洲（Jayalal et al. 2013）。,类粉缘大叶梅P. praesorediosum与本种相似，均具边缘生的粉芽，但区别在于前者地衣体边缘不具有缘毛。,无信息,无信息
隐斑大叶梅,"Parmotrema hababianum (Gyeln.) Hale, Phytologia 28(4): 336, 1974.≡Parmelia hababiana Gyeln., Feddes Repert. 29: 288/416, 1931.",无信息,无信息,地衣体：叶状，膜质，疏松附着基物，直径8～10 cm；裂片：5～15 mm宽，顶端圆形，边缘具缺刻，具稀疏缘毛；缘毛：黑的，单一，长0.5～2 mm；上表面：灰色至棕灰色，光滑，具微弱白斑或无白斑，具粉芽；粉芽：边缘至亚边缘生，具粉芽的裂片边缘外卷；下表面：黑棕色，具稀疏假根，边缘裸露带象牙白或具浅棕色斑点；假根：单一，长1～2 mm；子囊盘：未见。地衣特征化合物: 含atranorin 和 protolichesterinic acid.,树皮及岩石表面；海拔980～2400 m。,西藏、云南（魏江春 1991），亚洲（Mishra & Upreti 2017）。,缘毛大叶梅P. sancti-angelii与本种相似，但前者下表面边缘裸露带棕色，髓层C+ 玫瑰红色，含三色苔酸（Mishra & Upreti 2017）。,无信息,无信息
尼尔山大叶梅,"Parmotrema nilgherrense (Nyl.) Hale, Phytologia 28: 338, 1974.≡Parmelia nilgherrensis Nyl., Flora, Regensburg 52: 291, 1869.",无信息,无信息,"地衣体：叶状，不规则扩展，直径5～15 cm，疏松固着基物；裂片：0.5～1 cm宽，边缘锯齿状，具缘毛；缘毛：黑色，长达2 mm；上表面：灰白色至淡绿褐色，无光泽，具细微白色斑纹；下表面：黑色，具稀疏假根，具宽的边缘裸露带；假根：黑色，单一；子囊盘：常见，直径1-1.5 cm，盘面红棕色，盘缘具缺刻；孢子：椭圆形，无色单胞，15～20 × (8～)10～12.5 μm。地衣特征化合物: atranorin, alectoronic 和 α-collatolic acids。",生于树干及岩石表面；海拔2800～3800 m。,福建、陕西、四川、台湾、西藏、云南，喜马拉雅地区（王立松 2012；魏江春 1991）。,P. arnoldii与本种相似，但区别在于前者地衣体裂片边缘具粉芽，缘毛更长，通常大于2 mm。,无信息,无信息
粉网大叶梅,"Parmotrema reticulatum (Taylor) M. Choisy, Bull. Mens. Soc. Linn. Lyon 21: 175, 1952.≡Parmelia reticulata Taylor, in Mackay, Fl. Hibern. 2: 148, 1836.",无信息,无信息,"地衣体：中型叶状，贴生或疏松附着基物，圆形至不规则扩展，直径5～15 cm；裂片：中央裂片相互紧密靠生至重叠，边缘裂片分离扩展，宽4～12 mm，顶端圆形至亚圆形，边缘具缘毛；缘毛：黑色，稀疏至密集，单一至稀疏分枝，长0.5～2 mm；上表面：浅灰色至污白色，具粉芽和明显网状白斑，粉芽颗粒状，边缘至近边缘生，形成线形至头状粉芽堆；白斑网状，有时呈撕裂状裂纹；下表面：黑色，具光泽，边缘具裸露带，宽1～2 mm；假根：密集黑色，单一至毛刷状分枝；子囊盘：未见；地衣特征化合物：皮层K+ 黄色；髓层 K+黄色变红, C-, P+橘红色，含atranorin, chloroatranorin, salazinic和 consalazinic acids。",松（Pinus）、杜鹃（Rhododendron）树皮，偶见岩石表面生；海拔500～3600 m。,安徽、福建、广州、广西、湖北、湖南、海南、吉林、江西、内蒙古、山东、台湾、西藏、香港、云南（魏江春 1991），广泛分布于热带及温带区（Jayalal et al. 2013）。,睫毛大叶梅P. cetratum于本种相似，但前者地衣体上表面无粉芽。,西藏（Xizang），日喀则，王立松等17-57527；墨脱县，王欣宇等18-61292；云南（Yunnan），丽江县，王立松82-280。,无信息
大叶梅,"Parmotrema tinctorum (Dilese ex Nyl.) Hale, Phytologia 28:339, 1974.≡Parmelia tinctorum Despr. ex Nyl. Flora 55:547, 1872.",无信息,无信息,"地衣体：大型叶状，疏松附着基物，膜质至革质，直径5～20 cm；裂片：宽5～15 mm，边缘全缘至缺刻，无缘毛，顶端圆形至近圆形；上表面：浅灰色至灰绿色，有光泽，边缘裂片具纵向皱褶，无白斑；裂芽：密集生于衣体上表面近中央处，逐渐向边缘蔓延，颗粒状至柱状，单一至珊瑚状；下表面：黑色，具细皱褶，有光泽，假根稀疏，边缘有明显浅棕色至深棕色裸露带；假根：较短，单一不分叉；子囊盘：未见；地衣特征化合物：含atranorin, chloroatranorin, lecanoric acid。",树皮或岩石表面；海拔1900～2400m。,安徽、北京、重庆、福建、广州、广西、海南、河北、河南、湖北、湖南、江苏、辽宁、山东、上海、陕西、四川、台湾、西藏、香港、云南、浙江（王立松 2012；魏江春1991），广泛分布于热带、亚热带和温带地区（Jayalal et al. 2013 ）。,本种的主要分类特征为地衣体大而疏松附着于基物，上表面具密集裂芽，裂片边缘不具缘毛，髓层含茶渍酸；假大叶梅P. pseudotinctorum与本种相似，但前者具肿胀的裂芽。,云南（Yunnan）， 丽江县，王立松等09-30061；中甸县，王立松93-13747；四川（Sichuan），丹巴县，王立松 10-31881。,无信息
绿皮地卷,"Peltigera aphthosa (L.) Willd., Fl. Berol. Prodr.: 347, 1787. Lichen aphthosus L., Sp. Pl.: 1148, 1753.",无信息,无信息,地衣体：大型叶状，疏松贴生基物，圆形至不规则扩展，直径 10～20 (～30) cm；上表面：绿色至暗绿色，干燥后灰绿色至棕黄色，边缘被有直立的淡色绒毛，中央光滑无绒毛，贴生有饼状至疣状的黑色外生衣瘿，直径达2 mm；无粉芽、裂芽及小裂片；裂片：深裂，周缘裂片宽2～3 cm，边缘波状起伏，顶端上卷；下表面：边缘淡褐色，近中央变深棕色，脉纹网状，宽而不明显，生有稀疏单一至束状黑色假根，假根长达4 mm；地衣体厚510～1210 μm，上皮层厚27.2～57.8 μm，髓层厚440～1100 μm；子囊盘：生于裂片顶端，上扬直立型，盘面深棕色至黑色，平滑，直径约7～15 mm，子囊盘下表面淡色，具有连续或不连续颗粒状皮层；子实层：无色至淡棕色，厚78.2～122.4 μm；子实下层：棕色，厚91.8～108.8 μm；侧丝：单一不分枝；子囊：长椭圆形至棒状，直径74.8～85.6 × 10.2～17.5 μm，内含8个孢子；子囊孢子：窄纺锤形至针形，平行4～8胞，无色至淡棕色，直径40～80 × 3.4～6.8 μm；光合共生生物：绿藻，藻层厚27.2～37.4 μm，外生衣瘿中含蓝细菌；地衣特征化合物：皮层K-，C-；髓层K-，C-，P-；含细衣素，甲基三苔色酸盐，三苔色酸。,生于地上及岩面薄土层，常与苔藓伴生；海拔2800～4400 m。,"内蒙古、吉林、黑龙江、四川、湖北、云南、西藏、陕西、四川、甘肃、新疆（Sato, 1952, p. 172; 陈锡龄等，1981, p.155；陈锡龄，1986, p.20；陈锡龄等，1981, p. 155；陈锡龄，1986, p. 20；Jatta, 1902, p. 467; Zahlbruckner, 1930, p. 89；Müller Arg., 1893, p. 235; Zahlbruckner, 1930, p. 89；Elenkin, 1901, p. 38；Zahlbruckner, 1930, p. 89；魏江春、姜玉梅, 1986, p. 15），北美洲、欧洲、亚洲（文献？）。",本种不同于白腹地卷之处在于后者下表面具明显网状的脉纹，子囊盘下表面皮层发育不良；本种不同于黑瘿地卷之处在于后者子囊盘平卧型。,西藏（Xizang），芒康县，王立松等16-50609；云南（Yunnan），德钦县，王立松94-15253；四川（Sichuan），康定县，王立松96-16404。,无信息
犬地卷,"Peltigera canina (L.) Willd., Flora Berol. Prodr.: 347, 1787.≡ Lichen caninus L., Sp. Pl.: 1149, 1753.",无信息,无信息,地衣体：大型叶状，疏松贴生基物，圆形至不规则扩展，直径达10～20 (～30) cm；上表面：蓝褐至灰褐色，干燥后灰色、灰棕色至黄褐色，近边缘密布白色细绒毛，近中央光滑无绒毛；裂片：浅裂或深裂，顶端波状全缘，下卷，宽约1～2.5 cm；下表面：边缘苍白色至淡黄褐色，近中央逐渐变淡棕色至棕色，具狭窄而稍隆起的同色网状脉纹，密生单一至毛笔状同色假根，长2～4 (～7) mm；地衣体厚408～646 μm，上皮层无色至淡棕色，厚44.2～51 (～68) μm，髓层厚340～544 μm；子囊盘：生于裂片顶端，直立型，稀近平卧型，马鞍形、半管状或扁圆形；盘面深棕色至黑色，平滑，有时具光泽，无粉霜，宽4～10 mm；盘缘全缘或多少具齿裂；子实层：无色至淡棕色，厚74.8～88.4 μm；子实下层：棕色，厚57.8～78.2 μm；子囊：椭圆形至棒状，直径74.8～95.2 × 8.5～-17.6 μm，内含8个孢子；子囊孢子：无色至淡棕色，针形至近纺锤形或近杆状，4～8胞，直径30 ～90 × 3.4～5.1  μm；光合共生生物：蓝细菌，厚34～64.6 μm；地衣特征化合物：皮层K-，C-，KC-，P-，髓层K-，C-，P-， 不含地衣酸类特征化合物。,地上藓土层，也见于石表薄土和朽木上；海拔400～4400 m。,"河北、山西、内蒙古、辽宁、吉林、黑龙江、安徽、浙江、湖北、四川、贵州、云南、西藏、陕西、福建、新疆、台湾（Tchou, 1935, p. 317；陈锡龄等，1981, p. 155；陈锡龄，1986, p. 21; Asahina, 1952, p. 374；Zahlbruckner, 1930, p. 88；Magnusson, 1940, p. 46; Moreau & Moreau, 1951, p. 187；魏江春、姜玉梅，1981, p. 1147；陈健斌等，1989, p. 403；陆定安，1958, p. 267；吴继农、钱之广, 1989, p. 184-185；吴继农等, 1984, p. 6；Kurokawa et al., 1966, p. 112; Zahlbruckner, 1933, p. 34; Inumaru, 1943, p. 5; Wang & Lai, 1973, p. 94），西藏（魏江春、姜玉梅，1986, p. 16），北美洲、欧洲、亚洲（文献？）。",本种上表面密被绒毛，周缘裂片边缘下卷，下表面具狭窄而稍隆起的同色网状脉纹；本种与膜地卷的区别在于后者地衣体较薄，假根分枝不同。,四川（Sichuan），会理县，王立松97-17957；云南（Yunnan），中甸县，王立松94-14995；西藏（Xizang），察隅县，王立松82-781。,无信息
双色小孢发,"Bryoria bicolor (Ehrh.) Brodo & D. Hawksw., Opera Bot. 42: 99, 1977≡Lichen bicolor Ehrh., Beitr. Naturk, 3: 82, 1788.","Hercynia, Ehrhart Crypt. exs. No. 40 (LINN-Sm. 1712.2(3), lectotype).",KU862936,"地衣体：枝状，直立或半直立，高3 ～ 8 cm，直径0.2 ～ 0.5 mm；表面：基部黑色，中部黑褐色至黑色，近顶端黄绿色；通常具侧生小刺；粉芽和裂芽：无；假杯点：污白色，下陷，椭圆形至梭形；子囊盘：稀见，亚顶生，幼时内陷，成熟后凸起呈曲膝状，盘面直径1 ～ 2 mm，淡棕色；子囊：内含8个孢子；孢子：椭圆形，无色单胞，直径8 × 6 μm；分生孢子器：未见；地衣特征化合物: 髓层: K−, P+红色含fumarprotocetraric acid.",生于树干或林下藓层，海拔2400 ～ 4300 m。,"云南（王立松&陈建斌，1994），陕西（Baroni, 1894），台湾（王杨贞容&赖明洲，1973），黑龙江、内蒙古（陈锡龄等, 1981）；北半球（Singh, 2010）。",本种的重要特征是地衣体呈二色，即基部黑色而近顶端黄绿色。本种的外形与光亮小孢发（B. nitidula）相似，两者均具有假杯点，但是后者的地衣体颜色为浅棕色至深棕色，明显不同。,云南（Yunnan）， 德钦县，王立松 85-8903；中甸县，王立松等 13-46743；西藏（Xizang）， 察隅县，王立松等 14-46757；墨脱县，王欣宇等 18-62264；西藏新纪录。,无信息
盾地卷,"Peltigera collina (Ach.) Röhl., J. Bot. 78, 1813.≡ Lichen collinus Ach., Lich. Suec. Prodr.: 162, 1798.",无信息,无信息,"地衣体生长型：地衣体叶状，中型，平铺，圆形或多少不规则形，直径约7～10 (～15) cm；上表面：淡蓝色至淡灰棕色，光滑无绒毛，平滑或稍粗糙；粉芽、裂芽及小裂片：灰白色至灰蓝色粉芽堆镶边；周缘裂片多数，平坦，放射状排列或多少排列不规则，宽约5～10 mm，长达3 cm，边缘常上仰，具皱波，常被有粉霜；下表面：淡色至深棕色，具有不明显至扁平而宽的脉纹或有时脉纹缺失，其上生有单一、束状或多分枝的假根，长达3 mm。地衣体厚450～963 μm；上皮层厚23.8～61.2 μm；光合共生物层厚27.2～47.6 μm；髓层厚385～845 μm。子囊盘：少数至众多，直立型或平卧型，扁平至马鞍形；盘面棕黑色至黑色，光滑无绒毛，平滑，无粉霜，宽约3.5～5 mm。子实层无色；子实下层棕色，厚85～105.4 μm；侧丝单一不分枝；子囊椭球形或多少近圆柱形，71.4～88.4 × 10.2～18.7 μm，其内含8个子囊孢子；子囊孢子：窄纺锤形至针形，4～8胞，无色或偶淡棕色，(44.2～) 51～68 (～74.8) × 3.4～6.8 μm。光合共生物为蓝细菌，其直径4～6 μm。地衣特征化合物：皮层K-，C-，髓层K-，C-，P-，含tenuiorin, methylgyrophorate, gyrophoric acid，T1，T3，T6 (±)。",生于树干、土表及石上藓层；海拔400～4000 m都有分布。,"河北、山西、内蒙古、辽宁、吉林、黑龙江、四川、云南、陕西、甘肃、内蒙古、黑龙江、福建（陈锡龄等，1981, p. 156；陈锡龄，1986, p. 21； Jatta，1902, p. 468; Zahlbruckner, 1930, p. 89；吴继农等，1984, p. 6），北美洲、欧洲、亚洲、北非（文献？）。",本种与分指地卷的主要区别在于前者叶状体上表面光滑无绒毛，具有粉芽堆镶边；而后者叶状体上表面边缘有绒毛，无粉芽堆镶边。,无信息,无信息
分指地卷,"Peltigera didactyla (With.) J.R. Laundon, Lichenologist 16(3): 217, 1984.≡ Lichen didactylus With., Bot. Arr. Veg. Gr. Brit. 1, 2: 718, 1776 (‘Didactylos’).",无信息,无信息,地衣体：地衣体叶状，小至中型，单生至多裂片聚生，直径 2～15 cm；上表面：鲜时青绿至鲜绿色，久置后呈黄绿色至灰褐色，近边缘被白色绒毛；粉芽、裂芽及小裂片：具粉芽地衣体有近圆形粉芽堆或脱落后留下的圆形疤痕，无粉芽地衣体几乎所有裂片都具子囊盘；下表面：边缘淡棕色，近中央逐渐呈深棕色，网状脉纹平坦至明显隆起；假根：淡褐色至黑色，单一至柔毛状多分枝，长1～3 mm；子囊盘：直立型，马鞍形至半管状，盘面棕色至黑色，直径2～6 mm；子囊及子囊孢子：子囊椭圆至棒状，内含8个孢子；孢子窄纺锤形至针形，4～8胞，无色至淡棕色，直径40～80 × 3.4～6.8 μm；光合共生生物：蓝细菌；地衣特征化合物：皮层K-，C-；髓层K-，C-，P-，TLC：不含地衣特征化合物。,地表和石表土层；海拔250～4000 m。,"河北、内蒙古、辽宁、吉林、黑龙江、湖北、四川、贵州、湖北、云南、浙江、西藏、福建、陕西、新疆、台湾（陈锡龄等，1981, p.155; 陈锡龄，1986, p. 22；Jatta, 1902, p. 468；Zahlbruckner，1930, p. 89；Patouillard & Olivier, 1907, p. 23；魏江春、姜玉梅，p. 1147 & 1986, p. 17；陈健斌等，1989, p. 407；吴继农、钱之广，1989, p. 185；Zahlbruckner, 1933, p. 35; Inumaru, 1943, p. 14; Wang & Lai, 1973, p. 95），北美洲、南美洲、欧洲、亚洲、非洲、大洋洲（文献？）。",Goffinet & Hastings (1995) 将本种分为两个变种。原变种主要特征为：叶状体由一个裂片组成；其下表面脉纹棕色至黑棕色，假根稀疏而单一不分枝。P. didactyla var. extenuata的主要特征为：叶状体由多个裂片组成；下表面淡棕色至棕色，假根多而分枝。这两个变种在中国都有分布，且有一系列的过渡类型。本种幼年期标本叶状体上表面具有粉芽堆，无子囊盘；中年期标本叶状体上表面具有粉芽堆或其脱落后留下的疤痕，具有子囊盘；老年期标本叶状体上表面很少有粉芽堆，几乎所有裂片都具有子囊盘。幼年期标本多被鉴定为P. erumpens，中年期标本被鉴定为P. spuria或P. erumpens，老年期标本被鉴定为P. spuria (Vitikainen 1994) 。,无信息,无信息
